Unique ID,3-Year Period,Cause of Death,Race,Hispanic or Latino  Origin,Gender,"Age-Adjusted Rate per 100,000 Population",Lower 95% Confidence Interval,Upper 95% Confidence Interval
A2010201233012,2010-2012,Peptic ulcer,Total,Not Hispanic,Female,,,
A2010201233020,2010-2012,Peptic ulcer,Total,Hispanic,Total,0.0,0.0,0.7
A2010201233021,2010-2012,Peptic ulcer,Total,Hispanic,Male,0.0,0.0,1.9
A2010201233022,2010-2012,Peptic ulcer,Total,Hispanic,Female,0.0,0.0,1.1
A2010201233100,2010-2012,Peptic ulcer,White,Total,Total,0.7,0.3,1.0
A2010201233101,2010-2012,Peptic ulcer,White,Total,Male,,,
A2010201233102,2010-2012,Peptic ulcer,White,Total,Female,,,
A2010201233110,2010-2012,Peptic ulcer,White,Not Hispanic,Total,0.8,0.4,1.2
A2010201233111,2010-2012,Peptic ulcer,White,Not Hispanic,Male,,,
A2010201233112,2010-2012,Peptic ulcer,White,Not Hispanic,Female,,,
A2010201233120,2010-2012,Peptic ulcer,White,Hispanic,Total,0.0,0.0,0.7
A2010201233121,2010-2012,Peptic ulcer,White,Hispanic,Male,0.0,0.0,2.1
A2010201233122,2010-2012,Peptic ulcer,White,Hispanic,Female,0.0,0.0,1.2
A2010201233200,2010-2012,Peptic ulcer,Black,Total,Total,,,
A2010201233201,2010-2012,Peptic ulcer,Black,Total,Male,,,
A2010201233202,2010-2012,Peptic ulcer,Black,Total,Female,,,
A2010201233210,2010-2012,Peptic ulcer,Black,Not Hispanic,Total,,,
A2010201233211,2010-2012,Peptic ulcer,Black,Not Hispanic,Male,,,
A2010201233212,2010-2012,Peptic ulcer,Black,Not Hispanic,Female,,,
A2010201233220,2010-2012,Peptic ulcer,Black,Hispanic,Total,0.0,0.0,11.6
A2010201233221,2010-2012,Peptic ulcer,Black,Hispanic,Male,0.0,0.0,35.1
A2010201233222,2010-2012,Peptic ulcer,Black,Hispanic,Female,0.0,0.0,17.8
A2010201233300,2010-2012,Peptic ulcer,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201233301,2010-2012,Peptic ulcer,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201233302,2010-2012,Peptic ulcer,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201233310,2010-2012,Peptic ulcer,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201233311,2010-2012,Peptic ulcer,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201233312,2010-2012,Peptic ulcer,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201233320,2010-2012,Peptic ulcer,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201233321,2010-2012,Peptic ulcer,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201233322,2010-2012,Peptic ulcer,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201233400,2010-2012,Peptic ulcer,Asian/Pacific Islander,Total,Total,,,
A2010201233401,2010-2012,Peptic ulcer,Asian/Pacific Islander,Total,Male,,,
A2010201233402,2010-2012,Peptic ulcer,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2010201233410,2010-2012,Peptic ulcer,Asian/Pacific Islander,Not Hispanic,Total,,,
A2010201233411,2010-2012,Peptic ulcer,Asian/Pacific Islander,Not Hispanic,Male,,,
A2010201233412,2010-2012,Peptic ulcer,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2010201233420,2010-2012,Peptic ulcer,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201233421,2010-2012,Peptic ulcer,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201233422,2010-2012,Peptic ulcer,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201234000,2010-2012,Diseases of appendix,Total,Total,Total,,,
A2010201234001,2010-2012,Diseases of appendix,Total,Total,Male,0.0,0.0,0.2
A2010201234002,2010-2012,Diseases of appendix,Total,Total,Female,,,
A2010201234010,2010-2012,Diseases of appendix,Total,Not Hispanic,Total,,,
A2010201234011,2010-2012,Diseases of appendix,Total,Not Hispanic,Male,0.0,0.0,0.2
A2010201234012,2010-2012,Diseases of appendix,Total,Not Hispanic,Female,,,
A2010201234020,2010-2012,Diseases of appendix,Total,Hispanic,Total,0.0,0.0,0.7
A2010201234021,2010-2012,Diseases of appendix,Total,Hispanic,Male,0.0,0.0,1.9
A2010201234022,2010-2012,Diseases of appendix,Total,Hispanic,Female,0.0,0.0,1.1
A2010201234100,2010-2012,Diseases of appendix,White,Total,Total,0.0,0.0,0.1
A2010201234101,2010-2012,Diseases of appendix,White,Total,Male,0.0,0.0,0.2
A2010201234102,2010-2012,Diseases of appendix,White,Total,Female,0.0,0.0,0.2
A2010201234110,2010-2012,Diseases of appendix,White,Not Hispanic,Total,0.0,0.0,0.2
A2010201234111,2010-2012,Diseases of appendix,White,Not Hispanic,Male,0.0,0.0,0.3
A2010201234112,2010-2012,Diseases of appendix,White,Not Hispanic,Female,0.0,0.0,0.3
A2010201234120,2010-2012,Diseases of appendix,White,Hispanic,Total,0.0,0.0,0.7
A2010201234121,2010-2012,Diseases of appendix,White,Hispanic,Male,0.0,0.0,2.1
A2010201234122,2010-2012,Diseases of appendix,White,Hispanic,Female,0.0,0.0,1.2
A2010201234200,2010-2012,Diseases of appendix,Black,Total,Total,,,
A2010201234201,2010-2012,Diseases of appendix,Black,Total,Male,0.0,0.0,1.2
A2010201234202,2010-2012,Diseases of appendix,Black,Total,Female,,,
A2010201234210,2010-2012,Diseases of appendix,Black,Not Hispanic,Total,,,
A2010201234211,2010-2012,Diseases of appendix,Black,Not Hispanic,Male,0.0,0.0,1.2
A2010201234212,2010-2012,Diseases of appendix,Black,Not Hispanic,Female,,,
A2010201234220,2010-2012,Diseases of appendix,Black,Hispanic,Total,0.0,0.0,11.6
A2010201234221,2010-2012,Diseases of appendix,Black,Hispanic,Male,0.0,0.0,35.1
A2010201234222,2010-2012,Diseases of appendix,Black,Hispanic,Female,0.0,0.0,17.8
A2010201234300,2010-2012,Diseases of appendix,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201234301,2010-2012,Diseases of appendix,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201234302,2010-2012,Diseases of appendix,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201234310,2010-2012,Diseases of appendix,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201234311,2010-2012,Diseases of appendix,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201234312,2010-2012,Diseases of appendix,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201234320,2010-2012,Diseases of appendix,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201234321,2010-2012,Diseases of appendix,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201234322,2010-2012,Diseases of appendix,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201234400,2010-2012,Diseases of appendix,Asian/Pacific Islander,Total,Total,0.0,0.0,0.5
A2010201234401,2010-2012,Diseases of appendix,Asian/Pacific Islander,Total,Male,0.0,0.0,1.1
A2010201234402,2010-2012,Diseases of appendix,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2010201234410,2010-2012,Diseases of appendix,Asian/Pacific Islander,Not Hispanic,Total,0.0,0.0,0.5
A2010201234411,2010-2012,Diseases of appendix,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2010201234412,2010-2012,Diseases of appendix,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2010201234420,2010-2012,Diseases of appendix,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201234421,2010-2012,Diseases of appendix,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201234422,2010-2012,Diseases of appendix,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201235000,2010-2012,Hernia,Total,Total,Total,,,
A2010201235001,2010-2012,Hernia,Total,Total,Male,,,
A2010201235002,2010-2012,Hernia,Total,Total,Female,,,
A2010201235010,2010-2012,Hernia,Total,Not Hispanic,Total,,,
A2010201235011,2010-2012,Hernia,Total,Not Hispanic,Male,,,
A2010201235012,2010-2012,Hernia,Total,Not Hispanic,Female,,,
A2010201235020,2010-2012,Hernia,Total,Hispanic,Total,0.0,0.0,0.7
A2010201235021,2010-2012,Hernia,Total,Hispanic,Male,0.0,0.0,1.9
A2010201235022,2010-2012,Hernia,Total,Hispanic,Female,0.0,0.0,1.1
A2010201235100,2010-2012,Hernia,White,Total,Total,,,
A2010201235101,2010-2012,Hernia,White,Total,Male,,,
A2010201235102,2010-2012,Hernia,White,Total,Female,,,
A2010201235110,2010-2012,Hernia,White,Not Hispanic,Total,,,
A2010201235111,2010-2012,Hernia,White,Not Hispanic,Male,,,
A2010201235112,2010-2012,Hernia,White,Not Hispanic,Female,,,
A2010201235120,2010-2012,Hernia,White,Hispanic,Total,0.0,0.0,0.7
A2010201235121,2010-2012,Hernia,White,Hispanic,Male,0.0,0.0,2.1
A2010201235122,2010-2012,Hernia,White,Hispanic,Female,0.0,0.0,1.2
A2010201235200,2010-2012,Hernia,Black,Total,Total,,,
A2010201235201,2010-2012,Hernia,Black,Total,Male,,,
A2010201235202,2010-2012,Hernia,Black,Total,Female,0.0,0.0,0.7
A2010201235210,2010-2012,Hernia,Black,Not Hispanic,Total,,,
A2010201235211,2010-2012,Hernia,Black,Not Hispanic,Male,,,
A2010201235212,2010-2012,Hernia,Black,Not Hispanic,Female,0.0,0.0,0.8
A2010201235220,2010-2012,Hernia,Black,Hispanic,Total,0.0,0.0,11.6
A2010201235221,2010-2012,Hernia,Black,Hispanic,Male,0.0,0.0,35.1
A2010201235222,2010-2012,Hernia,Black,Hispanic,Female,0.0,0.0,17.8
A2010201235300,2010-2012,Hernia,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201235301,2010-2012,Hernia,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201235302,2010-2012,Hernia,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201235310,2010-2012,Hernia,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201235311,2010-2012,Hernia,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201235312,2010-2012,Hernia,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201235320,2010-2012,Hernia,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201235321,2010-2012,Hernia,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201235322,2010-2012,Hernia,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201235400,2010-2012,Hernia,Asian/Pacific Islander,Total,Total,0.0,0.0,0.5
A2010201235401,2010-2012,Hernia,Asian/Pacific Islander,Total,Male,0.0,0.0,1.1
A2010201235402,2010-2012,Hernia,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2010201235410,2010-2012,Hernia,Asian/Pacific Islander,Not Hispanic,Total,0.0,0.0,0.5
A2010201235411,2010-2012,Hernia,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2010201235412,2010-2012,Hernia,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2010201235420,2010-2012,Hernia,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201235421,2010-2012,Hernia,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201235422,2010-2012,Hernia,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201236000,2010-2012,Chronic liver disease and cirrhosis,Total,Total,Total,3.9,3.2,4.6
A2010201236001,2010-2012,Chronic liver disease and cirrhosis,Total,Total,Male,4.9,3.8,6.1
A2010201236002,2010-2012,Chronic liver disease and cirrhosis,Total,Total,Female,3.0,2.2,3.8
A2010201236010,2010-2012,Chronic liver disease and cirrhosis,Total,Not Hispanic,Total,3.9,3.2,4.6
A2010201236011,2010-2012,Chronic liver disease and cirrhosis,Total,Not Hispanic,Male,4.9,3.7,6.1
A2010201236012,2010-2012,Chronic liver disease and cirrhosis,Total,Not Hispanic,Female,3.1,2.2,4.0
A2010201236020,2010-2012,Chronic liver disease and cirrhosis,Total,Hispanic,Total,,,
A2010201236021,2010-2012,Chronic liver disease and cirrhosis,Total,Hispanic,Male,,,
A2010201236022,2010-2012,Chronic liver disease and cirrhosis,Total,Hispanic,Female,,,
A2010201236100,2010-2012,Chronic liver disease and cirrhosis,White,Total,Total,4.4,3.5,5.3
A2010201236101,2010-2012,Chronic liver disease and cirrhosis,White,Total,Male,5.5,4.1,7.0
A2010201236102,2010-2012,Chronic liver disease and cirrhosis,White,Total,Female,3.4,2.4,4.5
A2010201236110,2010-2012,Chronic liver disease and cirrhosis,White,Not Hispanic,Total,4.5,3.6,5.5
A2010201236111,2010-2012,Chronic liver disease and cirrhosis,White,Not Hispanic,Male,5.6,4.0,7.1
A2010201236112,2010-2012,Chronic liver disease and cirrhosis,White,Not Hispanic,Female,3.7,2.5,4.9
A2010201236120,2010-2012,Chronic liver disease and cirrhosis,White,Hispanic,Total,,,
A2010201236121,2010-2012,Chronic liver disease and cirrhosis,White,Hispanic,Male,,,
A2010201236122,2010-2012,Chronic liver disease and cirrhosis,White,Hispanic,Female,,,
A2010201236200,2010-2012,Chronic liver disease and cirrhosis,Black,Total,Total,2.7,1.3,4.1
A2010201236201,2010-2012,Chronic liver disease and cirrhosis,Black,Total,Male,,,
A2010201236202,2010-2012,Chronic liver disease and cirrhosis,Black,Total,Female,,,
A2010201236210,2010-2012,Chronic liver disease and cirrhosis,Black,Not Hispanic,Total,2.8,1.3,4.3
A2010201236211,2010-2012,Chronic liver disease and cirrhosis,Black,Not Hispanic,Male,,,
A2010201236212,2010-2012,Chronic liver disease and cirrhosis,Black,Not Hispanic,Female,,,
A2010201236220,2010-2012,Chronic liver disease and cirrhosis,Black,Hispanic,Total,0.0,0.0,11.6
A2010201236221,2010-2012,Chronic liver disease and cirrhosis,Black,Hispanic,Male,0.0,0.0,35.1
A2010201236222,2010-2012,Chronic liver disease and cirrhosis,Black,Hispanic,Female,0.0,0.0,17.8
A2010201236300,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201236301,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201236302,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201236310,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201236311,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201236312,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201236320,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201236321,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201236322,2010-2012,Chronic liver disease and cirrhosis,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201236400,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Total,Total,,,
A2010201236401,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Total,Male,,,
A2010201236402,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Total,Female,,,
A2010201236410,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Not Hispanic,Total,,,
A2010201236411,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Not Hispanic,Male,,,
A2010201236412,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Not Hispanic,Female,,,
A2010201236420,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201236421,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201236422,2010-2012,Chronic liver disease and cirrhosis,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201237000,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Total,Total,0.8,0.5,1.1
A2010201237001,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Total,Male,,,
A2010201237002,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Total,Female,0.8,0.4,1.2
A2010201237010,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Not Hispanic,Total,0.8,0.5,1.1
A2010201237011,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Not Hispanic,Male,,,
A2010201237012,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Not Hispanic,Female,0.8,0.4,1.2
A2010201237020,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Hispanic,Total,,,
A2010201237021,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Hispanic,Male,,,
A2010201237022,2010-2012,Cholelithiasis and other disorders of gallbladder,Total,Hispanic,Female,,,
A2010201237100,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Total,Total,0.9,0.5,1.2
A2010201237101,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Total,Male,,,
A2010201237102,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Total,Female,,,
A2010201237110,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Not Hispanic,Total,0.8,0.4,1.2
A2010201237111,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Not Hispanic,Male,,,
A2010201237112,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Not Hispanic,Female,,,
A2010201237120,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Hispanic,Total,,,
A2010201237121,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Hispanic,Male,,,
A2010201237122,2010-2012,Cholelithiasis and other disorders of gallbladder,White,Hispanic,Female,,,
A2010201237200,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Total,Total,,,
A2010201237201,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Total,Male,,,
A2010201237202,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Total,Female,,,
A2010201237210,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Not Hispanic,Total,,,
A2010201237211,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Not Hispanic,Male,,,
A2010201237212,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Not Hispanic,Female,,,
A2010201237220,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Hispanic,Total,0.0,0.0,11.6
A2010201237221,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Hispanic,Male,0.0,0.0,35.1
A2010201237222,2010-2012,Cholelithiasis and other disorders of gallbladder,Black,Hispanic,Female,0.0,0.0,17.8
A2010201237300,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201237301,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201237302,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201237310,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201237311,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201237312,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201237320,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201237321,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201237322,2010-2012,Cholelithiasis and other disorders of gallbladder,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201237400,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Total,Total,,,
A2010201237401,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Total,Male,,,
A2010201237402,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Total,Female,,,
A2010201237410,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Not Hispanic,Total,,,
A2010201237411,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Not Hispanic,Male,,,
A2010201237412,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Not Hispanic,Female,,,
A2010201237420,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201237421,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201237422,2010-2012,Cholelithiasis and other disorders of gallbladder,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201238000,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Total,Total,8.6,7.6,9.7
A2010201238001,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Total,Male,11.3,9.4,13.2
A2010201238002,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Total,Female,7.0,5.8,8.2
A2010201238010,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Not Hispanic,Total,8.9,7.8,10.0
A2010201238011,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Not Hispanic,Male,11.3,9.3,13.2
A2010201238012,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Not Hispanic,Female,7.4,6.1,8.7
A2010201238020,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Hispanic,Total,6.8,2.9,10.8
A2010201238021,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Hispanic,Male,,,
A2010201238022,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Total,Hispanic,Female,,,
A2010201238100,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Total,Total,7.9,6.8,9.1
A2010201238101,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Total,Male,11.0,8.8,13.1
A2010201238102,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Total,Female,6.1,4.8,7.3
A2010201238110,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Not Hispanic,Total,8.1,6.9,9.3
A2010201238111,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Not Hispanic,Male,10.9,8.7,13.1
A2010201238112,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Not Hispanic,Female,6.4,5.0,7.8
A2010201238120,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Hispanic,Total,,,
A2010201238121,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Hispanic,Male,,,
A2010201238122,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",White,Hispanic,Female,,,
A2010201238200,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Total,Total,14.0,10.2,17.7
A2010201238201,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Total,Male,16.0,9.2,22.8
A2010201238202,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Total,Female,12.7,8.2,17.3
A2010201238210,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Not Hispanic,Total,14.5,10.6,18.4
A2010201238211,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Not Hispanic,Male,16.6,9.5,23.7
A2010201238212,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Not Hispanic,Female,13.2,8.5,17.9
A2010201238220,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Hispanic,Total,0.0,0.0,11.6
A2010201238221,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Hispanic,Male,0.0,0.0,35.1
A2010201238222,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Black,Hispanic,Female,0.0,0.0,17.8
A2010201238300,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201238301,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201238302,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201238310,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201238311,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201238312,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201238320,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201238321,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201238322,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201238400,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Total,Total,6.7,3.8,9.5
A2010201238401,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Total,Male,,,
A2010201238402,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Total,Female,6.7,2.8,10.5
A2010201238410,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Not Hispanic,Total,6.7,3.8,9.6
A2010201238411,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Not Hispanic,Male,,,
A2010201238412,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Not Hispanic,Female,6.7,2.8,10.6
A2010201238420,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201238421,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201238422,2010-2012,"Nephritis, nephrotic syndrome and nephrosis",Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201239000,2010-2012,Infections of kidney,Total,Total,Total,,,
A2010201239001,2010-2012,Infections of kidney,Total,Total,Male,,,
A2010201239002,2010-2012,Infections of kidney,Total,Total,Female,,,
A2010201239010,2010-2012,Infections of kidney,Total,Not Hispanic,Total,,,
A2010201239011,2010-2012,Infections of kidney,Total,Not Hispanic,Male,,,
A2010201239012,2010-2012,Infections of kidney,Total,Not Hispanic,Female,,,
A2010201239020,2010-2012,Infections of kidney,Total,Hispanic,Total,0.0,0.0,0.7
A2010201239021,2010-2012,Infections of kidney,Total,Hispanic,Male,0.0,0.0,1.9
A2010201239022,2010-2012,Infections of kidney,Total,Hispanic,Female,0.0,0.0,1.1
A2010201239100,2010-2012,Infections of kidney,White,Total,Total,,,
